Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	genus	Priority
GCF_003957565.2	bTaeGut1.4.pri	Taeniopygia guttata					Blue55	female	NCBI Taeniopygia guttata Annotation Release 106	Chromosome	2021-05-04	RRCB02	198	Taeniopygia	0_High
GCF_929443795.1	bAccGen1.1	Accipiter gentilis							GCF_929443795.1-RS_2023_02	Chromosome	2022-02-09	CAKNBG01	454	Accipiter	1_Low
GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus					BioBank_ID:100140	female	GCF_020745825.1-RS_2023_03	Chromosome	2023-03-15	JAIWQD01	440	Agelaius	1_Low
GCF_027887145.1	bAmmCau1.pri	Ammospiza caudacuta					bAmmCau1	female	GCF_027887145.1-RS_2023_08	Chromosome	2023-01-18	JAQIHB01	282	Ammospiza	1_Low
GCF_963932015.1	bAnaAcu1.1	Anas acuta							GCF_963932015.1-RS_2024_09	Chromosome	2024-02-07	CAWVPS01	394	Anas	1_Low
GCF_031753505.1	ASM3175350v1	Anomalospiza imberbis					Cuckoo-Finch-1a 21T00152	female	GCF_031753505.1-RS_2024_07	Chromosome	2023-09-22	JASJUL01	1370	Anomalospiza	1_Low
GCF_040182565.1	Taihu_goose_T2T_genome	Anser cygnoides	goose				HZ-2024a	female	GCF_040182565.1-RS_2024_07	Chromosome	2024-06-14	JBECYW01	74	Anser	1_Low
GCF_041296385.1	UR_Acoe_1.0	Aphelocoma coerulescens					FSJ_1873_10779	female	GCF_041296385.1-RS_2024_10	Chromosome	2024-08-16	JBGGOT01	659	Aphelocoma	1_Low
GCF_036417845.1	bAptMan1.hap1	Apteryx mantelli					bAptMan1	male	GCF_036417845.1-RS_2024_08	Chromosome	2024-02-06	JAYMGQ01	408	Apteryx	1_Low
GCF_020740795.1	bApuApu2.pri.cur	Apus apus					bApuApu2	female	GCF_020740795.1-RS_2023_02	Chromosome	2021-11-04	JAJGQY01	109	Apus	1_Low
GCF_900496995.4	bAquChr1.4	Aquila chrysaetos chrysaetos							NCBI Aquila chrysaetos chrysaetos Annotation Release 101	Chromosome	2021-03-26	UFQG04	144	Aquila	1_Low
GCF_009819795.1	bAytFul2.pri	Aythya fuligula					bAytFul2	female	NCBI Aythya fuligula Annotation Release 100	Chromosome	2019-12-31	WNMM01	104	Aythya	1_Low
GCF_036013445.1	bCalNic1.hap1	Caloenas nicobarica					bCalNic1	female	GCF_036013445.1-RS_2024_06	Chromosome	2024-01-26	JAYKXI01	806	Caloenas	1_Low
GCF_003957555.1	bCalAnn1_v1.p	Calypte anna					BGI_N300	female	NCBI Calypte anna Annotation Release 101	Chromosome	2019-05-16	RRCD01	159	Calypte	1_Low
GCF_901933205.1	STF_HiC	Camarhynchus parvulus							NCBI Camarhynchus parvulus Annotation Release 100	Chromosome	2019-09-06	CABFNF01	1345	Camarhynchus	1_Low
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus					bCatUst1	female	NCBI Catharus ustulatus Annotation Release 101	Chromosome	2020-12-22	WNMQ02	160	Catharus	1_Low
GCF_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata					bChiLan1	female	NCBI Chiroxiphia lanceolata Annotation Release 100	Chromosome	2020-01-03	WNMC01	93	Chiroxiphia	1_Low
GCF_963924245.1	bChrRid1.1	Chroicocephalus ridibundus							GCF_963924245.1-RS_2024_02	Chromosome	2024-01-20	CAWUPF01	728	Chroicocephalus	1_Low
GCF_963662255.1	bCinCin1.1	Cinclus cinclus							GCF_963662255.1-RS_2024_01	Chromosome	2023-12-11	CAVLEW01	277	Cinclus	1_Low
GCF_028858725.1	bColStr4.1.hap1	Colius striatus					bColStr4	female	GCF_028858725.1-RS_2023_12	Chromosome	2023-02-24	JARBXP01	190	Colius	1_Low
GCF_036013475.1	bColLiv1.pat.W.v2	Columba livia	racing homer				bColLiv1	female	GCF_036013475.1-RS_2024_05	Chromosome	2024-04-08	JAYMZD02	869	Columba	1_Low
GCF_000738735.6	ASM73873v6	Corvus cornix cornix					S_Up_H32	male	NCBI Corvus cornix cornix Annotation Release 104	Chromosome	2022-04-01	JPSR04	46	Corvus	1_Low
GCF_001577835.2	Coturnix japonica 2.1	Coturnix japonica					7356	male	NCBI Coturnix japonica Annotation Release 101	Chromosome	2016-03-01	LSZS01	2530	Coturnix	1_Low
GCF_017976375.1	bCucCan1.pri	Cuculus canorus					bCucCan1	female	GCF_017976375.1-RS_2023_02	Chromosome	2021-04-15	JAGIYT01	150	Cuculus	1_Low
GCF_013377495.2	CAtr_DNAZoo_HiC_assembly	Cygnus atratus				Queensland, Australia	AKBS03	male	GCF_013377495.2-RS_2023_02	Chromosome	2022-08-03	JABXOC02	567	Cygnus	1_Low
GCF_036370855.1	bDroNov1.hap1	Dromaius novaehollandiae					bDroNov1	female	GCF_036370855.1-RS_2024_04	Chromosome	2024-02-26	JAZAQV01	271	Dromaius	1_Low
GCF_014839835.1	bDryPub1.pri	Dryobates pubescens					bDryPub1	female	GCF_014839835.1-RS_2023_03	Chromosome	2020-10-02	JACNMV01	180	Dryobates	1_Low
GCF_023638135.1	bFalBia1.pri	Falco biarmicus					bFalBia1	female	GCF_023638135.1-RS_2023_05	Chromosome	2022-06-02	JAMOAT01	397	Falco	1_Low
GCF_000247815.1	FicAlb1.5	Ficedula albicollis					OC2	male	NCBI Ficedula albicollis Annotation Release 101	Chromosome	2013-06-27	AGTO02	21835	Ficedula	1_Low
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus					bGalGal1	female	NCBI Gallus gallus Annotation Release 106	Chromosome	2021-01-19	JAENSK01	213	Gallus	1_Low
GCF_030936135.1	bGavSte3.hap2	Gavia stellata					bGavSte3	male	GCF_030936135.1-RS_2023_09	Chromosome	2023-08-30	JAVGIZ01	1185	Gavia	1_Low
GCF_028858705.1	bGruAme1.mat	Grus americana					bGruAme1	male	GCF_028858705.1-RS_2023_03	Chromosome	2023-02-24	JARBUS01	929	Grus	1_Low
GCF_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female	GCF_018139145.2-RS_2023_02	Chromosome	2022-09-01	JAGKTE02	542	Gymnogyps	1_Low
GCF_027477595.1	bHaeMex1.pri	Haemorhous mexicanus					bHaeMex1	female	GCF_027477595.1-RS_2023_09	Chromosome	2022-12-29	JAPYKC01	183	Haemorhous	1_Low
GCF_947461875.1	bHalAlb1.1	Haliaeetus albicilla							GCF_947461875.1-RS_2024_11	Chromosome	2022-12-06	CANHOD01	188	Haliaeetus	1_Low
GCF_026419915.1	bHarHar1 primary haplotype	Harpia harpyja					bHarHar1	female	GCF_026419915.1-RS_2023_02	Chromosome	2022-11-27	JAPMHW01	322	Harpia	1_Low
GCF_015227805.2	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female	GCF_015227805.2-RS_2023_07	Chromosome	2021-11-30	JADDRP03	617	Hirundo	1_Low
GCF_027791375.1	UM_Iind_1.1	Indicator indicator					239-I01	female	GCF_027791375.1-RS_2023_03	Chromosome	2023-01-13	JAQHUL01	896	Indicator	1_Low
GCF_023343835.1	bLagMut1 primary	Lagopus muta					bLagMut1	female	NCBI Lagopus muta Annotation Release 100	Chromosome	2022-05-12	JAMCCT01	164	Lagopus	1_Low
GCF_037157495.1	bLatDis1.hap1	Lathamus discolor					bLatDis1	female	GCF_037157495.1-RS_2024_06	Chromosome	2024-03-15	JBBBVN01	367	Lathamus	1_Low
